Filename,Date,Time,Img
pondeli_01_kontrola01_dmso_mys01_bricho_00h_2020-09-07_09-25-49-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,09:26:47,Frgrnd
pondeli_01_kontrola01_dmso_mys01_l_bok_00h_2020-09-07_09-28-00-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,09:29:00,Frgrnd
pondeli_01_kontrola01_dmso_mys01_p_bok_00h_2020-09-07_09-23-16-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,09:24:40,Frgrnd
pondeli_01_kontrola01_dmso_mys02_bricho_00h_2020-09-07_09-55-26-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,09:56:50,Frgrnd
pondeli_01_kontrola01_dmso_mys02_l_bok_00h_2020-09-07_10-00-32-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,10:01:30,Frgrnd
pondeli_01_kontrola01_dmso_mys02_p_bok_00h_2020-09-07_09-58-06-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,09:59:04,Frgrnd
pondeli_01_kontrola01_dmso_mys03_bricho_00h_2020-09-07_10-17-22-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,10:18:21,Frgrnd
pondeli_01_kontrola01_dmso_mys03_bricho_00h_2020-09-07_10-19-09-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,10:20:08,Frgrnd
pondeli_01_kontrola01_dmso_mys03_l_bok_00h_2020-09-07_10-24-16-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,10:25:15,Frgrnd
pondeli_01_kontrola01_dmso_mys03_p_bok_00h_2020-09-07_10-21-36-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,10:22:34,Frgrnd
pondeli_01_kontrola01_dmso_vsechny_bricho_d150_2021-02-09_13-42-12-MWL-Ex(750)-Em(830)_Frgrnd,02/09/2021,13:44:07,Frgrnd
pondeli_01_kontrola01_dmso_vsechny_bricho_d245_2021-05-12_13-21-32-MWL-Ex(750)-Em(830)_Frgrnd,05/12/2021,13:23:00,Frgrnd
pondeli_01_kontrola01_dmso_vsechny_l_bok_d150_2021-02-09_13-51-56-MWL-Ex(750)-Em(830)_Frgrnd,02/09/2021,13:53:25,Frgrnd
pondeli_01_kontrola01_dmso_vsechny_l_bok_d245_2021-05-12_13-27-34-MWL-Ex(750)-Em(830)_Frgrnd,05/12/2021,13:29:03,Frgrnd
pondeli_01_kontrola01_dmso_vsechny_p_bok_05h_2020-09-07_19-56-48-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,19:58:17,Frgrnd
pondeli_01_kontrola01_dmso_vsechny_p_bok_48h_2020-09-09_15-53-06-MWL-Ex(750)-Em(830)_Frgrnd,09/09/2020,15:54:34,Frgrnd
pondeli_01_kontrola01_dmso_vsechny_p_bok_72h_2020-09-10_09-58-42-MWL-Ex(750)-Em(830)_Frgrnd,09/10/2020,10:00:11,Frgrnd
pondeli_01_kontrola01_dmso_vsechny_p_bok_d120_2021-01-14_12-58-18-MWL-Ex(750)-Em(830)_Frgrnd,01/14/2021,13:00:13,Frgrnd
pondeli_01_kontrola01_dmso_vsechny_p_bok_d150_2021-02-09_13-47-01-MWL-Ex(750)-Em(830)_Frgrnd,02/09/2021,13:48:29,Frgrnd
pondeli_01_kontrola01_dmso_vsechny_p_bok_d15_2020-09-22_09-03-12-MWL-Ex(750)-Em(830)_Frgrnd,09/22/2020,09:05:06,Frgrnd
pondeli_01_kontrola01_dmso_vsechny_p_bok_d180_2021-03-11_13-59-32-MWL-Ex(750)-Em(830)_Frgrnd,03/11/2021,14:00:45,Frgrnd
pondeli_01_kontrola01_dmso_vsechny_p_bok_d245_2021-05-12_13-24-47-MWL-Ex(750)-Em(830)_Frgrnd,05/12/2021,13:26:15,Frgrnd
pondeli_01_kontrola01_dmso_vsechny_p_bok_d28_2020-10-05_11-27-01-MWL-Ex(750)-Em(830)_Frgrnd,10/05/2020,11:28:56,Frgrnd
pondeli_01_kontrola01_dmso_vsechny_p_bok_d57_2020-11-05_09-36-37-MWL-Ex(750)-Em(830)_Frgrnd,11/05/2020,09:38:05,Frgrnd
pondeli_01_kontrola01_dmso_vsechny_p_bok_d70_2020-11-16_20-22-04-MWL-Ex(750)-Em(830)_Frgrnd,11/16/2020,20:23:32,Frgrnd
pondeli_01_kontrola01_dmso_vsechny_p_bok_d85_2020-12-01_12-23-22-MWL-Ex(750)-Em(830)_Frgrnd,12/01/2020,12:25:16,Frgrnd
pondeli_02_i1_polymer_mys01_bricho_00h_2020-09-07_11-00-55-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,11:02:24,Frgrnd
pondeli_02_i1_polymer_mys01_bricho_05h_2020-09-07_15-54-48-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,15:56:07,Frgrnd
pondeli_02_i1_polymer_mys01_bricho_24h_2020-09-08_10-57-54-MWL-Ex(750)-Em(830)_Frgrnd,09/08/2020,10:59:22,Frgrnd
pondeli_02_i1_polymer_mys01_l_bok_00h_2020-09-07_11-03-56-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,11:05:25,Frgrnd
pondeli_02_i1_polymer_mys01_l_bok_05h_2020-09-07_15-57-38-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,15:58:58,Frgrnd
pondeli_02_i1_polymer_mys01_l_bok_24h_2020-09-08_11-01-06-MWL-Ex(750)-Em(830)_Frgrnd,09/08/2020,11:02:35,Frgrnd
