mouse_name_unique,Slot,DayAdministered,TimeAdministered,DayAdministered_ddmmyyyy
pondeli_02_i1_polymer_mys01_bricho,1,9/7/20,10:31,7.9.2020
pondeli_02_i1_polymer_mys01_l_bok,1,9/7/20,10:31,7.9.2020
pondeli_02_i1_polymer_mys01_p_bok,1,9/7/20,10:31,7.9.2020
pondeli_02_i1_polymer_mys02_bricho,2,9/7/20,11:15,7.9.2020
pondeli_02_i1_polymer_mys02_l_bok,2,9/7/20,11:15,7.9.2020
pondeli_02_i1_polymer_mys02_p_bok,2,9/7/20,11:15,7.9.2020
pondeli_02_i1_polymer_mys03_bricho,3,9/7/20,11:45,7.9.2020
pondeli_02_i1_polymer_mys03_l_bok,3,9/7/20,11:45,7.9.2020
pondeli_02_i1_polymer_mys03_p_bok,3,9/7/20,11:45,7.9.2020
pondeli_02_i1_polymer_vsechny_bricho,1,9/7/20,10:31,7.9.2020
pondeli_02_i1_polymer_vsechny_bricho,2,9/7/20,11:15,7.9.2020
pondeli_02_i1_polymer_vsechny_bricho,3,9/7/20,11:45,7.9.2020
pondeli_02_i1_polymer_vsechny_l_bok,1,9/7/20,10:31,7.9.2020
pondeli_02_i1_polymer_vsechny_l_bok,2,9/7/20,11:15,7.9.2020
pondeli_02_i1_polymer_vsechny_l_bok,3,9/7/20,11:45,7.9.2020
pondeli_02_i1_polymer_vsechny_p_bok,1,9/7/20,10:31,7.9.2020
pondeli_02_i1_polymer_vsechny_p_bok,2,9/7/20,11:15,7.9.2020
pondeli_02_i1_polymer_vsechny_p_bok,3,9/7/20,11:45,7.9.2020
pondeli_03_f2_polymer_mys01_bricho,1,9/7/20,12:06,7.9.2020
pondeli_03_f2_polymer_mys01_l_bok,1,9/7/20,12:06,7.9.2020
pondeli_03_f2_polymer_mys01_p_bok,1,9/7/20,12:06,7.9.2020
pondeli_03_f2_polymer_mys02_bricho,2,9/7/20,12:26,7.9.2020
pondeli_03_f2_polymer_mys02_l_bok,2,9/7/20,12:26,7.9.2020
pondeli_03_f2_polymer_mys02_p_bok,2,9/7/20,12:26,7.9.2020
pondeli_03_f2_polymer_mys03_bricho,3,9/7/20,12:56,7.9.2020
pondeli_03_f2_polymer_mys03_l_bok,3,9/7/20,12:56,7.9.2020
pondeli_03_f2_polymer_mys03_p_bok,3,9/7/20,12:56,7.9.2020
pondeli_03_f2_polymer_vsechny_bricho,1,9/7/20,12:06,7.9.2020
pondeli_03_f2_polymer_vsechny_bricho,2,9/7/20,12:26,7.9.2020
pondeli_03_f2_polymer_vsechny_bricho,3,9/7/20,12:56,7.9.2020
pondeli_03_f2_polymer_vsechny_Bricho,1,9/7/20,12:06,7.9.2020
pondeli_03_f2_polymer_vsechny_Bricho,2,9/7/20,12:26,7.9.2020
pondeli_03_f2_polymer_vsechny_Bricho,3,9/7/20,12:56,7.9.2020
pondeli_03_f2_polymer_vsechny_l_bok,1,9/7/20,12:06,7.9.2020
pondeli_03_f2_polymer_vsechny_l_bok,2,9/7/20,12:26,7.9.2020
pondeli_03_f2_polymer_vsechny_l_bok,3,9/7/20,12:56,7.9.2020
pondeli_03_f2_polymer_vsechny_p_bok,1,9/7/20,12:06,7.9.2020
